bhk,area_sqft,locality,furnishing,status,price_rupees,price_per_sqft
2,1305.0,Satellite,Furnished,Ready To Move,6000000.0,4597.7
3,1000.0,Shilaj,Furnished,Under Construction,8900000.0,8900.0
3,918.0,Shela,Furnished,Under Construction,6250000.0,6808.28
2,1026.0,Bodakdev,Furnished,Ready To Move,6200000.0,6042.88
2,945.0,Ghodasar,Furnished,Ready To Move,5500000.0,5820.11
3,1077.0,Bopal,Furnished,Under Construction,8880000.0,8245.13
3,968.0,Bopal,Furnished,Under Construction,6530000.0,6745.87
2,848.0,Motera,Furnished,Ready To Move,6200000.0,7311.32
3,1210.0,Ellisbridge,Furnished,Ready To Move,10000000.0,8264.46
2,1170.0,Gota,Furnished,Ready To Move,6500000.0,5555.56
3,1165.0,Khodiyar,Furnished,Ready To Move,10000000.0,8583.69
2,1260.0,Shela,Furnished,Under Construction,5500000.0,4365.08
3,1475.0,Shela,Furnished,Ready To Move,7400000.0,5016.95
